"","ID","Language","Glottocode","Cognate_Set","Form","Concept","Concept_ID","Source","Source_Page","Comment","Macro_Region"
"1",1,"Ak = Akuntsú","akun1241","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"2",2,"Ar = Aruá","arua1261","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"3",3,"Aw = Awetí","awet1244","I-2","ito","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"4",4,"Gv = Gavião","gavi1246","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"5",5,"Ju = Jurúna","juru1256","I-1","una","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"6",6,"Ka = Káro","karo1305","I-1","ʔõn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"7",7,"Kt = Karitiána","kari1311","I-1","ĩn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"8",8,"Ku = Kuruáya","kuru1309","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"9",9,"Ma = Makuráp","maku1278","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"10",10,"Me = Mekéns","saki1248","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"11",11,"Mu = Mundurukú","mund1330","I-1","ṍn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"12",12,"Mw = Mawé","sate1243","I-2","ujto","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"13",13,"Pg = Paraguayan Guaraní","para1311","I-2","ʃe","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"14",14,"Pt = Parintintín","tenh1241","I-2","ji ~ hi","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"15",15,"Pu = Puruborá","puru1264","I-1","ʔõn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"16",16,"Sa = Salamãy","sala1273","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"17",17,"Su = Suruí","suru1262","I-1","ó.ẽn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"18",18,"Ta = Tapirapé","tapi1254","I-2","ie","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"19",19,"Tu = Tuparí","tupa1250","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"20",20,"Uk = Urubú-Ka’apór","urub1250","I-2","ihẽ","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"21",21,"Wa = Wayoró","wayo1238","I-1","õn","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"22",22,"Xi = Xipáya","xipa1240","I-1","una","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"23",23,"Zo = Zoró","zoro1244","I-1","õõt","I/ME",2301,"Galucio et al. 2015",249,NA,"South America"
"24",24,"Ak = Akuntsú","akun1241","FISH-2","kojtpit","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"25",25,"Ar = Aruá","arua1261","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"26",26,"Aw = Awetí","awet1244","FISH-2","piɾaʔɨt","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"27",27,"Gv = Gavião","gavi1246","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"28",28,"Ju = Jurúna","juru1256","FISH-2","piʧa","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"29",29,"Ka = Káro","karo1305","FISH-1","ip","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"30",30,"Kt = Karitiána","kari1311","FISH-1","ʔip","FISH",227,"Galucio et al. 2015",251,"Form marked as Ma in source; Treated as Mw","South America"
"31",31,"Ku = Kuruáya","kuru1309","FISH-1","potip","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"32",32,"Ma = Makuráp","maku1278","FISH-1","potkap","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"33",33,"Me = Mekéns","saki1248","FISH-2","kɨjpit","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"34",34,"Mu = Mundurukú","mund1330","FISH-3","aʃimá","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"35",35,"Mw = Mawé","sate1243","FISH-2","pi(i)ɾa","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"36",36,"Pg = Paraguayan Guaraní","para1311","FISH-2","piɾa","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"37",37,"Pt = Parintintín","tenh1241","FISH-2","piɾa","FISH",227,"Galucio et al. 2015",251,"Form marked as Pa in source; Treated as Pt","South America"
"38",38,"Pu = Puruborá","puru1264","FISH-1","ʔɨpʔaj","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"39",39,"Sa = Salamãy","sala1273","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"40",40,"Su = Suruí","suru1262","FISH-1","moɾíp ~ moɾíw-aa","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"41",41,"Ta = Tapirapé","tapi1254","FISH-2","hipiɾã","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"42",42,"Tu = Tuparí","tupa1250","FISH-1","ipot","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"43",43,"Uk = Urubú-Ka’apór","urub1250","FISH-2","piɾa","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"44",44,"Wa = Wayoró","wayo1238","FISH-1","ißojt","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"45",45,"Xi = Xipáya","xipa1240","FISH-2","ʃita","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"46",46,"Zo = Zoró","zoro1244","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,NA,"South America"
"47",47,"Ak = Akuntsú","akun1241","WOMAN-2","aɾamiɾa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"48",48,"Ar = Aruá","arua1261","WOMAN-3","ßãʣet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"49",49,"Aw = Awetí","awet1244","WOMAN-1","kujã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"50",50,"Gv = Gavião","gavi1246","WOMAN-3","ßãʣet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"51",51,"Ju = Jurúna","juru1256","WOMAN-4","iíʤa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"52",52,"Ka = Káro","karo1305","WOMAN-9","maʔpəj","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"53",53,"Kt = Karitiána","kari1311","WOMAN-10","ej pat","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"54",54,"Ku = Kuruáya","kuru1309","WOMAN-8","ao","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"55",55,"Ma = Makuráp","maku1278","WOMAN-2","aɾãpĩjã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"56",56,"Me = Mekéns","saki1248","WOMAN-2","aɾamiɾa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"57",57,"Mu = Mundurukú","mund1330","WOMAN-6","ajáʧát","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"58",58,"Mw = Mawé","sate1243","WOMAN-5","haɾɨpoɾia","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"59",59,"Pg = Paraguayan Guaraní","para1311","WOMAN-1","kuɲa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"60",60,"Pt = Parintintín","tenh1241","WOMAN-1","kuɲa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"61",61,"Pu = Puruborá","puru1264","WOMAN-1","pakoja","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"62",62,"Sa = Salamãy","sala1273","WOMAN-3","ßãzet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"63",63,"Su = Suruí","suru1262","WOMAN-3","ßáɬet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"64",64,"Ta = Tapirapé","tapi1254","WOMAN-1","kotjɨ","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"65",65,"Tu = Tuparí","tupa1250","WOMAN-2","aɾamiɾã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"66",66,"Uk = Urubú-Ka’apór","urub1250","WOMAN-1","kũjã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"67",67,"Wa = Wayoró","wayo1238","WOMAN-2","ãɾãmĩɾã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"68",68,"Xi = Xipáya","xipa1240","WOMAN-4","siʤa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"69",69,"Zo = Zoró","zoro1244","WOMAN-3","ßãzet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"70",70,"Ak = Akuntsú","akun1241","LONG-3","peɾek","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"71",71,"Ar = Aruá","arua1261","LONG-2","atíít","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"72",72,"Aw = Awetí","awet1244","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"73",73,"Gv = Gavião","gavi1246","LONG-2","-atóò","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"74",74,"Ju = Jurúna","juru1256","LONG-4","anáúhu ~ anáuhɨhɨ","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"75",75,"Ka = Káro","karo1305","LONG-11","cáɾa-ɾem","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"76",76,"Kt = Karitiána","kari1311","LONG-5","hoɾowa","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"77",77,"Ku = Kuruáya","kuru1309","LONG-7","tabiŋ-ʔõm","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"78",78,"Ma = Makuráp","maku1278","LONG-9","kãɾãŋ","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"79",79,"Me = Mekéns","saki1248","LONG-3","peɾek","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"80",80,"Mu = Mundurukú","mund1330","LONG-2","péɾén ~ béɾén","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"81",81,"Mw = Mawé","sate1243","LONG-6","ʔɨwop","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"82",82,"Pg = Paraguayan Guaraní","para1311","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"83",83,"Pt = Parintintín","tenh1241","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"84",84,"Pu = Puruborá","puru1264","LONG-5","tɨwa","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"85",85,"Sa = Salamãy","sala1273","LONG-2","-ato ~ -atóó","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"86",86,"Su = Suruí","suru1262","LONG-2","-ató-a","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"87",87,"Ta = Tapirapé","tapi1254","LONG-1","poko","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"88",88,"Tu = Tuparí","tupa1250","LONG-10","tããn","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"89",89,"Uk = Urubú-Ka’apór","urub1250","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"90",90,"Wa = Wayoró","wayo1238","LONG-8","kãm","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"91",91,"Xi = Xipáya","xipa1240","LONG-4","nauhu","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"92",92,"Zo = Zoró","zoro1244","LONG-2","-atóò","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
